#--- Experiment --------------------------------------------------------------------------																									
#NB-355-Ch2-2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																									
#WSG-LAPTOP-3																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	11/06/2025	11/06/2025	6.966	49.315	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	1001.722	24.868	100.000	24.189	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
19-11-2025	22:18:28.544	0.320	0.476548	48.921001	356	0	OK	19-11-2025	22:18:28.544	0.320	20.059	OK	19-11-2025	22:18:28.544	0.320	981	OK	19-11-2025	22:18:28.242	0.019	20.061	OK			
19-11-2025	22:18:29.543	1.319	0.473924	48.924999	356	0	OK	19-11-2025	22:18:29.543	1.319	20.062	OK	19-11-2025	22:18:29.543	1.319	981	OK	19-11-2025	22:18:29.243	1.020	20.063	OK			
19-11-2025	22:18:30.544	2.320	0.473180	48.925999	356	0	OK	19-11-2025	22:18:30.544	2.320	20.064	OK	19-11-2025	22:18:30.544	2.320	981	OK	19-11-2025	22:18:30.243	2.019	20.059	OK			
19-11-2025	22:18:31.556	3.333	0.477627	48.917999	356	0	OK	19-11-2025	22:18:31.556	3.333	20.069	OK	19-11-2025	22:18:31.556	3.333	981	OK	19-11-2025	22:18:31.259	3.036	20.060	OK			
19-11-2025	22:18:32.569	4.346	0.479120	48.916000	356	0	OK	19-11-2025	22:18:32.569	4.346	20.065	OK	19-11-2025	22:18:32.569	4.346	981	OK	19-11-2025	22:18:32.273	4.049	20.066	OK			
19-11-2025	22:18:33.584	5.360	0.480032	48.914001	356	0	OK	19-11-2025	22:18:33.584	5.360	20.069	OK	19-11-2025	22:18:33.584	5.360	981	OK	19-11-2025	22:18:33.286	5.062	20.074	OK			
19-11-2025	22:18:34.583	6.359	0.483695	48.909000	356	0	OK	19-11-2025	22:18:34.583	6.359	20.060	OK	19-11-2025	22:18:34.583	6.359	981	OK	19-11-2025	22:18:34.288	6.065	20.063	OK			
19-11-2025	22:18:35.597	7.373	0.482346	48.910999	356	0	OK	19-11-2025	22:18:35.597	7.373	20.062	OK	19-11-2025	22:18:35.597	7.373	981	OK	19-11-2025	22:18:35.300	7.076	20.057	OK			
19-11-2025	22:18:36.599	8.376	0.477460	48.918999	356	0	OK	19-11-2025	22:18:36.599	8.376	20.063	OK	19-11-2025	22:18:36.599	8.376	981	OK	19-11-2025	22:18:36.301	8.078	20.061	OK			
19-11-2025	22:18:37.614	9.390	0.472619	48.924999	356	0	OK	19-11-2025	22:18:37.614	9.390	20.080	OK	19-11-2025	22:18:37.614	9.390	981	OK	19-11-2025	22:18:37.315	9.091	20.073	OK			
19-11-2025	22:18:38.628	10.405	0.473895	48.923000	356	0	OK	19-11-2025	22:18:38.628	10.405	20.079	OK	19-11-2025	22:18:38.628	10.405	981	OK	19-11-2025	22:18:38.329	10.106	20.083	OK			
19-11-2025	22:18:39.630	11.406	0.472547	48.924999	356	0	OK	19-11-2025	22:18:39.630	11.406	20.081	OK	19-11-2025	22:18:39.630	11.406	981	OK	19-11-2025	22:18:39.337	11.113	20.080	OK			
19-11-2025	22:18:40.646	12.423	0.477790	48.917000	356	0	OK	19-11-2025	22:18:40.646	12.423	20.075	OK	19-11-2025	22:18:40.646	12.423	981	OK	19-11-2025	22:18:40.346	12.122	20.081	OK			
19-11-2025	22:18:41.655	13.431	0.477519	48.916000	356	0	OK	19-11-2025	22:18:41.655	13.431	20.087	OK	19-11-2025	22:18:41.655	13.431	981	OK	19-11-2025	22:18:41.359	13.135	20.080	OK			
19-11-2025	22:18:42.657	14.433	0.475698	48.919998	356	0	OK	19-11-2025	22:18:42.657	14.433	20.079	OK	19-11-2025	22:18:42.657	14.433	981	OK	19-11-2025	22:18:42.359	14.136	20.076	OK			
19-11-2025	22:18:43.656	15.432	0.478486	48.915001	356	1	OK	19-11-2025	22:18:43.656	15.432	20.082	OK	19-11-2025	22:18:43.656	15.432	981	OK	19-11-2025	22:18:43.373	15.149	20.079	OK			
19-11-2025	22:18:44.670	16.446	0.477208	48.917000	356	0	OK	19-11-2025	22:18:44.670	16.446	20.083	OK	19-11-2025	22:18:44.670	16.446	981	OK	19-11-2025	22:18:44.387	16.164	20.083	OK			
19-11-2025	22:18:45.669	17.445	0.475643	48.918999	356	0	OK	19-11-2025	22:18:45.669	17.445	20.088	OK	19-11-2025	22:18:45.669	17.445	981	OK	19-11-2025	22:18:45.400	17.177	20.083	OK			
19-11-2025	22:18:46.672	18.449	0.480000	48.911999	356	0	OK	19-11-2025	22:18:46.672	18.449	20.086	OK	19-11-2025	22:18:46.672	18.449	981	OK	19-11-2025	22:18:46.404	18.180	20.085	OK			
19-11-2025	22:18:47.674	19.450	0.477447	48.916000	356	0	OK	19-11-2025	22:18:47.674	19.450	20.088	OK	19-11-2025	22:18:47.674	19.450	981	OK	19-11-2025	22:18:47.405	19.181	20.090	OK			
19-11-2025	22:18:48.686	20.463	0.478577	48.914001	356	0	OK	19-11-2025	22:18:48.686	20.463	20.089	OK	19-11-2025	22:18:48.686	20.463	981	OK	19-11-2025	22:18:48.420	20.197	20.088	OK			
19-11-2025	22:18:49.701	21.477	0.477829	48.915001	356	0	OK	19-11-2025	22:18:49.701	21.477	20.091	OK	19-11-2025	22:18:49.701	21.477	981	OK	19-11-2025	22:18:49.428	21.204	20.092	OK			
19-11-2025	22:18:50.707	22.484	0.477666	48.916000	356	0	OK	19-11-2025	22:18:50.707	22.484	20.085	OK	19-11-2025	22:18:50.707	22.484	981	OK	19-11-2025	22:18:50.438	22.214	20.086	OK			
19-11-2025	22:18:51.710	23.486	0.479709	48.911999	356	0	OK	19-11-2025	22:18:51.710	23.486	20.090	OK	19-11-2025	22:18:51.710	23.486	981	OK	19-11-2025	22:18:51.440	23.217	20.091	OK			
19-11-2025	22:18:52.719	24.495	0.480454	48.910999	356	0	OK	19-11-2025	22:18:52.719	24.495	20.088	OK	19-11-2025	22:18:52.719	24.495	981	OK	19-11-2025	22:18:52.455	24.231	20.090	OK			
19-11-2025	22:18:53.733	25.510	0.486776	48.900002	356	1	OK	19-11-2025	22:18:53.733	25.510	20.092	OK	19-11-2025	22:18:53.733	25.510	981	OK	19-11-2025	22:18:53.469	25.245	20.090	OK			
