#--- Experiment --------------------------------------------------------------------------																									
#NB-361-Ch2-3																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																									
#WSG-LAPTOP-3																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	01/01/2001	10/09/2025	7.054	49.763	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	992.982	24.714	100.000	23.517	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%O2) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
25-11-2025	15:47:23.544	0.663	0.015996	49.577000	331	0	OK	25-11-2025	15:47:23.544	0.663	21.620	OK	25-11-2025	15:47:23.544	0.663	984	OK	25-11-2025	15:47:22.901	0.020	21.621	OK			
25-11-2025	15:47:24.556	1.675	0.015957	49.577999	331	1	OK	25-11-2025	15:47:24.556	1.675	21.619	OK	25-11-2025	15:47:24.556	1.675	984	OK	25-11-2025	15:47:23.903	1.022	21.620	OK			
25-11-2025	15:47:25.572	2.691	0.015823	49.581001	331	0	OK	25-11-2025	15:47:25.572	2.691	21.620	OK	25-11-2025	15:47:25.572	2.691	984	OK	25-11-2025	15:47:24.919	2.038	21.622	OK			
25-11-2025	15:47:26.586	3.706	0.016042	49.576000	331	0	OK	25-11-2025	15:47:26.586	3.706	21.619	OK	25-11-2025	15:47:26.586	3.706	984	OK	25-11-2025	15:47:25.932	3.052	21.620	OK			
25-11-2025	15:47:27.587	4.706	0.016043	49.576000	331	0	OK	25-11-2025	15:47:27.587	4.706	21.619	OK	25-11-2025	15:47:27.587	4.706	984	OK	25-11-2025	15:47:26.943	4.062	21.623	OK			
25-11-2025	15:47:28.588	5.708	0.016056	49.576000	331	0	OK	25-11-2025	15:47:28.588	5.708	21.616	OK	25-11-2025	15:47:28.588	5.708	984	OK	25-11-2025	15:47:27.957	5.076	21.617	OK			
25-11-2025	15:47:29.599	6.718	0.015991	49.577000	331	0	OK	25-11-2025	15:47:29.599	6.718	21.621	OK	25-11-2025	15:47:29.599	6.718	984	OK	25-11-2025	15:47:28.976	6.095	21.614	OK			
25-11-2025	15:47:30.602	7.721	0.015923	49.578999	331	0	OK	25-11-2025	15:47:30.602	7.721	21.617	OK	25-11-2025	15:47:30.602	7.721	984	OK	25-11-2025	15:47:29.987	7.106	21.618	OK			
25-11-2025	15:47:31.612	8.731	0.016189	49.571999	331	0	OK	25-11-2025	15:47:31.612	8.731	21.625	OK	25-11-2025	15:47:31.612	8.731	984	OK	25-11-2025	15:47:30.987	8.106	21.624	OK			
25-11-2025	15:47:32.612	9.732	0.015970	49.577000	331	0	OK	25-11-2025	15:47:32.612	9.732	21.626	OK	25-11-2025	15:47:32.612	9.732	984	OK	25-11-2025	15:47:32.004	9.123	21.624	OK			
25-11-2025	15:47:33.615	10.735	0.015755	49.582001	331	0	OK	25-11-2025	15:47:33.615	10.735	21.626	OK	25-11-2025	15:47:33.615	10.735	984	OK	25-11-2025	15:47:33.018	10.137	21.625	OK			
25-11-2025	15:47:34.631	11.750	0.015978	49.577000	331	0	OK	25-11-2025	15:47:34.631	11.750	21.624	OK	25-11-2025	15:47:34.631	11.750	984	OK	25-11-2025	15:47:34.037	11.156	21.622	OK			
25-11-2025	15:47:35.641	12.760	0.015574	49.585999	331	0	OK	25-11-2025	15:47:35.641	12.760	21.628	OK	25-11-2025	15:47:35.641	12.760	984	OK	25-11-2025	15:47:35.052	12.171	21.629	OK			
25-11-2025	15:47:36.644	13.763	0.015565	49.585999	331	0	OK	25-11-2025	15:47:36.644	13.763	21.630	OK	25-11-2025	15:47:36.644	13.763	984	OK	25-11-2025	15:47:36.066	13.185	21.624	OK			
25-11-2025	15:47:37.659	14.779	0.016110	49.573002	331	0	OK	25-11-2025	15:47:37.659	14.779	21.633	OK	25-11-2025	15:47:37.659	14.779	984	OK	25-11-2025	15:47:37.077	14.196	21.629	OK			
25-11-2025	15:47:38.660	15.779	0.015814	49.580002	331	0	OK	25-11-2025	15:47:38.660	15.779	21.632	OK	25-11-2025	15:47:38.660	15.779	984	OK	25-11-2025	15:47:38.094	15.213	21.629	OK			
25-11-2025	15:47:39.671	16.790	0.015315	49.591000	331	0	OK	25-11-2025	15:47:39.671	16.790	21.638	OK	25-11-2025	15:47:39.671	16.790	984	OK	25-11-2025	15:47:39.097	16.216	21.637	OK			
25-11-2025	15:47:40.684	17.803	0.015937	49.576000	331	0	OK	25-11-2025	15:47:40.684	17.803	21.643	OK	25-11-2025	15:47:40.684	17.803	984	OK	25-11-2025	15:47:40.110	17.229	21.638	OK			
25-11-2025	15:47:41.686	18.805	0.015761	49.580002	331	0	OK	25-11-2025	15:47:41.686	18.805	21.644	OK	25-11-2025	15:47:41.686	18.805	984	OK	25-11-2025	15:47:41.123	18.242	21.645	OK			
25-11-2025	15:47:42.701	19.821	0.015546	49.584999	331	0	OK	25-11-2025	15:47:42.701	19.821	21.644	OK	25-11-2025	15:47:42.701	19.821	984	OK	25-11-2025	15:47:42.125	19.244	21.642	OK			
25-11-2025	15:47:43.704	20.823	0.015500	49.587002	331	0	OK	25-11-2025	15:47:43.704	20.823	21.635	OK	25-11-2025	15:47:43.704	20.823	984	OK	25-11-2025	15:47:43.144	20.263	21.643	OK			
25-11-2025	15:47:44.707	21.826	0.015724	49.582001	331	0	OK	25-11-2025	15:47:44.707	21.826	21.633	OK	25-11-2025	15:47:44.707	21.826	984	OK	25-11-2025	15:47:44.141	21.260	21.631	OK			
25-11-2025	15:47:45.708	22.827	0.015724	49.582001	331	0	OK	25-11-2025	15:47:45.708	22.827	21.633	OK	25-11-2025	15:47:45.708	22.827	984	OK	25-11-2025	15:47:45.146	22.265	21.636	OK			
25-11-2025	15:47:46.709	23.828	0.015744	49.581001	331	0	OK	25-11-2025	15:47:46.709	23.828	21.638	OK	25-11-2025	15:47:46.709	23.828	984	OK	25-11-2025	15:47:46.146	23.266	21.632	OK			
25-11-2025	15:47:47.725	24.845	0.016010	49.574001	331	0	OK	25-11-2025	15:47:47.725	24.845	21.646	OK	25-11-2025	15:47:47.725	24.845	984	OK	25-11-2025	15:47:47.146	24.265	21.641	OK			
25-11-2025	15:47:48.748	25.868	0.015770	49.580002	331	0	OK	25-11-2025	15:47:48.748	25.868	21.642	OK	25-11-2025	15:47:48.748	25.868	984	OK	25-11-2025	15:47:48.161	25.281	21.642	OK			
25-11-2025	15:47:49.745	26.865	0.015934	49.577000	331	0	OK	25-11-2025	15:47:49.745	26.865	21.634	OK	25-11-2025	15:47:49.745	26.865	984	OK	25-11-2025	15:47:49.164	26.283	21.642	OK			
25-11-2025	15:47:50.763	27.882	0.015733	49.582001	331	0	OK	25-11-2025	15:47:50.763	27.882	21.631	OK	25-11-2025	15:47:50.763	27.882	984	OK	25-11-2025	15:47:50.166	27.286	21.633	OK			
25-11-2025	15:47:51.770	28.889	0.015896	49.577999	331	0	OK	25-11-2025	15:47:51.770	28.889	21.633	OK	25-11-2025	15:47:51.770	28.889	984	OK	25-11-2025	15:47:51.169	28.288	21.630	OK			
25-11-2025	15:47:52.778	29.898	0.016011	49.575001	331	0	OK	25-11-2025	15:47:52.778	29.898	21.636	OK	25-11-2025	15:47:52.778	29.898	984	OK	25-11-2025	15:47:52.167	29.286	21.631	OK			
25-11-2025	15:47:53.793	30.912	0.015859	49.577999	331	0	OK	25-11-2025	15:47:53.793	30.912	21.641	OK	25-11-2025	15:47:53.793	30.912	984	OK	25-11-2025	15:47:53.185	30.304	21.642	OK			
25-11-2025	15:47:54.806	31.925	0.016027	49.574001	331	0	OK	25-11-2025	15:47:54.806	31.925	21.642	OK	25-11-2025	15:47:54.806	31.925	984	OK	25-11-2025	15:47:54.197	31.316	21.643	OK			
25-11-2025	15:47:55.821	32.940	0.015682	49.582001	331	1	OK	25-11-2025	15:47:55.821	32.940	21.642	OK	25-11-2025	15:47:55.821	32.940	984	OK	25-11-2025	15:47:55.214	32.333	21.643	OK			
25-11-2025	15:47:56.836	33.956	0.015941	49.576000	331	0	OK	25-11-2025	15:47:56.836	33.956	21.642	OK	25-11-2025	15:47:56.836	33.956	984	OK	25-11-2025	15:47:56.216	33.335	21.641	OK			
25-11-2025	15:47:57.850	34.969	0.016015	49.574001	331	0	OK	25-11-2025	15:47:57.850	34.969	21.645	OK	25-11-2025	15:47:57.850	34.969	984	OK	25-11-2025	15:47:57.226	34.345	21.644	OK			
25-11-2025	15:47:58.850	35.970	0.016469	49.563000	331	0	OK	25-11-2025	15:47:58.850	35.970	21.649	OK	25-11-2025	15:47:58.850	35.970	984	OK	25-11-2025	15:47:58.242	35.361	21.647	OK			
25-11-2025	15:47:59.864	36.984	0.016057	49.573002	331	0	OK	25-11-2025	15:47:59.864	36.984	21.645	OK	25-11-2025	15:47:59.864	36.984	984	OK	25-11-2025	15:47:59.255	36.375	21.651	OK			
25-11-2025	15:48:00.871	37.991	0.016514	49.563000	331	0	OK	25-11-2025	15:48:00.871	37.991	21.639	OK	25-11-2025	15:48:00.871	37.991	984	OK	25-11-2025	15:48:00.268	37.387	21.641	OK			
25-11-2025	15:48:01.873	38.992	0.016419	49.564999	331	0	OK	25-11-2025	15:48:01.873	38.992	21.641	OK	25-11-2025	15:48:01.873	38.992	984	OK	25-11-2025	15:48:01.276	38.396	21.644	OK			
25-11-2025	15:48:02.875	39.994	0.016329	49.567001	331	0	OK	25-11-2025	15:48:02.875	39.994	21.642	OK	25-11-2025	15:48:02.875	39.994	984	OK	25-11-2025	15:48:02.279	39.398	21.638	OK			
25-11-2025	15:48:03.893	41.012	0.016306	49.567001	331	0	OK	25-11-2025	15:48:03.893	41.012	21.647	OK	25-11-2025	15:48:03.893	41.012	984	OK	25-11-2025	15:48:03.281	40.400	21.647	OK			
25-11-2025	15:48:04.891	42.010	0.016143	49.570999	331	0	OK	25-11-2025	15:48:04.891	42.010	21.645	OK	25-11-2025	15:48:04.891	42.010	984	OK	25-11-2025	15:48:04.280	41.399	21.645	OK			
25-11-2025	15:48:05.895	43.014	0.016104	49.571999	331	0	OK	25-11-2025	15:48:05.895	43.014	21.644	OK	25-11-2025	15:48:05.895	43.014	984	OK	25-11-2025	15:48:05.280	42.400	21.644	OK			
25-11-2025	15:48:06.909	44.028	0.016276	49.568001	331	0	OK	25-11-2025	15:48:06.909	44.028	21.644	OK	25-11-2025	15:48:06.909	44.028	984	OK	25-11-2025	15:48:06.282	43.401	21.643	OK			
