Time (YYYY-MM-DD hh:mm:ss);Time (ms);Time since start (s);Raw, Sensor 1 - H2 (MilliVolt);Sensor 1 - H2 (μmol/L);Cal. ID, Sensor 1 - H2;Raw, Sensor 2 - TEMP-UNIAMP (Temperature);Sensor 2 - TEMP-UNIAMP (°C);Cal. ID, Sensor 2 - TEMP-UNIAMP;Raw, Sensor 3 - Pressure (MilliVolt);Sensor 3 - Pressure (mbar);Cal. ID, Sensor 3 - Pressure;
2025-11-12 02:13:46;206;0;-0.113899998366833;0.0408999994397163;2;19.7261009216309;19.7261009216309;0;997.226989746094;997.226989746094;0;
2025-11-12 02:13:47;214;1.008;-0.402799993753433;-0.230599999427795;2;19.7261009216309;19.7261009216309;0;997.224975585938;997.224975585938;0;
2025-11-12 02:13:48;219;2.013;-0.391600012779236;-0.219999998807907;2;19.7273998260498;19.7273998260498;0;997.22998046875;997.22998046875;0;
2025-11-12 02:13:49;219;3.013;-0.391600012779236;-0.219999998807907;2;19.7273998260498;19.7273998260498;0;997.22998046875;997.22998046875;0;
2025-11-12 02:13:50;220;4.014;-0.551999986171722;-0.370700001716614;2;19.7313003540039;19.7313003540039;0;997.22900390625;997.22900390625;0;
2025-11-12 02:13:51;221;5.015;-0.290399998426437;-0.124899998307228;2;19.736499786377;19.736499786377;0;997.236999511719;997.236999511719;0;
2025-11-12 02:13:52;221;6.015;-0.278200000524521;-0.113499999046326;2;19.7313003540039;19.7313003540039;0;997.237976074219;997.237976074219;0;
2025-11-12 02:13:53;234;7.028;-0.366899996995926;-0.196799993515015;2;19.7299995422363;19.7299995422363;0;997.232971191406;997.232971191406;0;
2025-11-12 02:13:54;234;8.028;0.107900001108646;0.249300003051758;2;19.7378005981445;19.7378005981445;0;997.236022949219;997.236022949219;0;
2025-11-12 02:13:55;235;9.029;-0.589699983596802;-0.40599998831749;2;19.7325992584229;19.7325992584229;0;997.236022949219;997.236022949219;0;
2025-11-12 02:13:56;250;10.044;-0.730099976062775;-0.537899971008301;2;19.735200881958;19.735200881958;0;997.234985351563;997.234985351563;0;
2025-11-12 02:13:57;251;11.045;-0.300500005483627;-0.134499996900558;2;19.736499786377;19.736499786377;0;997.244018554688;997.244018554688;0;
2025-11-12 02:13:58;264;12.058;-0.315400004386902;-0.148399993777275;2;19.736499786377;19.736499786377;0;997.242980957031;997.242980957031;0;
2025-11-12 02:13:59;265;13.059;0.211199998855591;0.346100002527237;2;19.7402992248535;19.7402992248535;0;997.242980957031;997.242980957031;0;
2025-11-12 02:14:00;266;14.06;0.211199998855591;0.346100002527237;2;19.7402992248535;19.7402992248535;0;997.242980957031;997.242980957031;0;
2025-11-12 02:14:01;266;15.06;0.00490000005811453;0.152400001883507;2;19.7429008483887;19.7429008483887;0;997.236999511719;997.236999511719;0;
2025-11-12 02:14:02;272;16.066;-0.177200004458427;-0.0186000000685453;2;19.7455005645752;19.7455005645752;0;997.234008789063;997.234008789063;0;
2025-11-12 02:14:03;274;17.068;-0.370900005102158;-0.200399994850159;2;19.7402992248535;19.7402992248535;0;997.236999511719;997.236999511719;0;
2025-11-12 02:14:04;294;18.088;-0.336499989032745;-0.168200001120567;2;19.7441997528076;19.7441997528076;0;997.231994628906;997.231994628906;0;
2025-11-12 02:14:05;307;19.101;-0.455099999904633;-0.279500007629395;2;19.7429008483887;19.7429008483887;0;997.236022949219;997.236022949219;0;
2025-11-12 02:14:06;321;20.115;-0.312799990177155;-0.145899996161461;2;19.7481002807617;19.7481002807617;0;997.232971191406;997.232971191406;0;
2025-11-12 02:14:07;336;21.13;-0.203099995851517;-0.0428999997675419;2;19.7441997528076;19.7441997528076;0;997.232971191406;997.232971191406;0;
2025-11-12 02:14:08;350;22.144;-0.129700005054474;0.0260000005364418;2;19.7493991851807;19.7493991851807;0;997.223022460938;997.223022460938;0;
2025-11-12 02:14:09;365;23.159;-0.121500000357628;0.0337000004947186;2;19.7506999969482;19.7506999969482;0;997.213989257813;997.213989257813;0;
2025-11-12 02:14:10;380;24.174;-0.226999998092651;-0.0653000026941299;2;19.7506999969482;19.7506999969482;0;997.218994140625;997.218994140625;0;
2025-11-12 02:14:11;431;25.225;-0.226999998092651;-0.0653000026941299;2;19.7506999969482;19.7506999969482;0;997.218994140625;997.218994140625;0;
2025-11-12 02:14:12;444;26.238;-0.407200008630753;-0.234500005841255;2;19.7572002410889;19.7572002410889;0;997.208984375;997.208984375;0;
2025-11-12 02:14:13;463;27.257;-0.243399992585182;-0.0807000026106834;2;19.7493991851807;19.7493991851807;0;997.208984375;997.208984375;0;
2025-11-12 02:14:14;480;28.274;-0.286900013685226;-0.121500000357628;2;19.7532997131348;19.7532997131348;0;997.206970214844;997.206970214844;0;
2025-11-12 02:14:15;491;29.285;-0.206400007009506;-0.046000000089407;2;19.7520008087158;19.7520008087158;0;997.205017089844;997.205017089844;0;
2025-11-12 02:14:16;506;30.3;-0.100699998438358;0.0531999990344048;2;19.7493991851807;19.7493991851807;0;997.203979492188;997.203979492188;0;
2025-11-12 02:14:17;523;31.317;-0.0789000019431114;0.0737000033259392;2;19.7532997131348;19.7532997131348;0;997.200988769531;997.200988769531;0;
2025-11-12 02:14:18;538;32.332;-0.129299998283386;0.0263999998569489;2;19.7572002410889;19.7572002410889;0;997.203002929688;997.203002929688;0;
2025-11-12 02:14:19;554;33.348;-0.114200003445148;0.0405000001192093;2;19.7558994293213;19.7558994293213;0;997.200012207031;997.200012207031;0;
2025-11-12 02:14:20;565;34.359;-0.136999994516373;0.0190999992191792;2;19.7558994293213;19.7558994293213;0;997.200988769531;997.200988769531;0;
2025-11-12 02:14:21;580;35.374;-0.1875;-0.0282000005245209;2;19.7597999572754;19.7597999572754;0;997.192016601563;997.192016601563;0;
2025-11-12 02:14:22;608;36.402;-0.1875;-0.0282000005245209;2;19.7597999572754;19.7597999572754;0;997.192016601563;997.192016601563;0;
2025-11-12 02:14:23;622;37.416;-0.236399993300438;-0.0741999968886375;2;19.7597999572754;19.7597999572754;0;997.179992675781;997.179992675781;0;
2025-11-12 02:14:24;636;38.43;-0.305900007486343;-0.139300003647804;2;19.7584991455078;19.7584991455078;0;997.177001953125;997.177001953125;0;
2025-11-12 02:14:25;652;39.446;-0.530900001525879;-0.350499987602234;2;19.7623996734619;19.7623996734619;0;997.171997070313;997.171997070313;0;
2025-11-12 02:14:26;667;40.461;-0.213799998164177;-0.0529999993741512;2;19.7558994293213;19.7558994293213;0;997.168029785156;997.168029785156;0;
2025-11-12 02:14:27;683;41.477;-0.0706999972462654;0.0812999978661537;2;19.7572002410889;19.7572002410889;0;997.1669921875;997.1669921875;0;
