Time (YYYY-MM-DD hh:mm:ss);Time (ms);Time since start (s);Raw, Sensor 1 - H2 (MilliVolt);Sensor 1 - H2 (μmol/L);Cal. ID, Sensor 1 - H2;Raw, Sensor 2 - TEMP-UNIAMP (Temperature);Sensor 2 - TEMP-UNIAMP (°C);Cal. ID, Sensor 2 - TEMP-UNIAMP;Raw, Sensor 3 - Pressure (MilliVolt);Sensor 3 - Pressure (mbar);Cal. ID, Sensor 3 - Pressure;
2025-11-11 21:59:52;213;63.38;-0.331099987030029;-0.161799997091293;2;19.8763999938965;19.8763999938965;0;997.281982421875;997.281982421875;0;
2025-11-11 21:59:53;227;64.394;-0.450500011444092;-0.273000001907349;2;19.8763999938965;19.8763999938965;0;997.273010253906;997.273010253906;0;
2025-11-11 21:59:54;241;65.408;-0.319700002670288;-0.151199996471405;2;19.8750991821289;19.8750991821289;0;997.260009765625;997.260009765625;0;
2025-11-11 21:59:55;255;66.422;-0.615899980068207;-0.426999986171722;2;19.8724994659424;19.8724994659424;0;997.255981445313;997.255981445313;0;
2025-11-11 21:59:56;269;67.436;-0.397100001573563;-0.223199993371964;2;19.8724994659424;19.8724994659424;0;997.2509765625;997.2509765625;0;
2025-11-11 21:59:57;292;68.459;-0.4442999958992;-0.267199993133545;2;19.8777008056641;19.8777008056641;0;997.247985839844;997.247985839844;0;
2025-11-11 21:59:58;306;69.473;-0.263300001621246;-0.0987000018358231;2;19.8763999938965;19.8763999938965;0;997.245971679688;997.245971679688;0;
2025-11-11 21:59:59;335;70.502;-0.410199999809265;-0.235499992966652;2;19.878999710083;19.878999710083;0;997.241027832031;997.241027832031;0;
2025-11-11 22:00:00;349;71.516;-0.318599998950958;-0.150099992752075;2;19.8803005218506;19.8803005218506;0;997.236999511719;997.236999511719;0;
2025-11-11 22:00:01;363;72.53;-0.318599998950958;-0.150099992752075;2;19.8803005218506;19.8803005218506;0;997.236999511719;997.236999511719;0;
2025-11-11 22:00:02;363;73.53;-0.380499988794327;-0.207800000905991;2;19.8777008056641;19.8777008056641;0;997.236022949219;997.236022949219;0;
2025-11-11 22:00:03;365;74.532;-0.419900000095367;-0.244499996304512;2;19.8777008056641;19.8777008056641;0;997.234008789063;997.234008789063;0;
2025-11-11 22:00:04;373;75.54;-0.42059999704361;-0.245199993252754;2;19.878999710083;19.878999710083;0;997.22998046875;997.22998046875;0;
2025-11-11 22:00:05;374;76.541;-0.415199995040894;-0.240099996328354;2;19.8750991821289;19.8750991821289;0;997.22998046875;997.22998046875;0;
2025-11-11 22:00:06;375;77.542;-0.37389999628067;-0.201700001955032;2;19.8803005218506;19.8803005218506;0;997.22900390625;997.22900390625;0;
2025-11-11 22:00:07;389;78.556;-0.42849999666214;-0.252499997615814;2;19.8829002380371;19.8829002380371;0;997.226013183594;997.226013183594;0;
2025-11-11 22:00:08;390;79.557;-0.394199997186661;-0.220599994063377;2;19.8750991821289;19.8750991821289;0;997.223999023438;997.223999023438;0;
2025-11-11 22:00:09;403;80.57;-0.418799996376038;-0.243399992585182;2;19.8777008056641;19.8777008056641;0;997.219970703125;997.219970703125;0;
2025-11-11 22:00:10;405;81.572;-0.488900005817413;-0.308800011873245;2;19.8829002380371;19.8829002380371;0;997.223999023438;997.223999023438;0;
