Time (YYYY-MM-DD hh:mm:ss);Time (ms);Time since start (s);Raw, Sensor 1 - H2 (MilliVolt);Sensor 1 - H2 (Pa);Cal. ID, Sensor 1 - H2;Raw, Sensor 2 - TEMP-UNIAMP (Temperature);Sensor 2 - TEMP-UNIAMP (°C);Cal. ID, Sensor 2 - TEMP-UNIAMP;Raw, Sensor 3 - Pressure (MilliVolt);Sensor 3 - Pressure (mbar);Cal. ID, Sensor 3 - Pressure;
2025-10-09 21:49:25;0;895.977;0.63620001077652;13.8631000518799;3;23.0090007781982;23.0090007781982;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:26;15;896.992;0.454100012779236;-3.5188000202179;3;23.0116004943848;23.0116004943848;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:27;17;897.994;0.475699990987778;-1.45270001888275;3;23.0142002105713;23.0142002105713;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:28;33;899.01;0.652499973773956;15.4221000671387;3;23.0154991149902;23.0154991149902;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:29;47;900.024;0.528699994087219;3.60520005226135;3;23.0116004943848;23.0116004943848;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:30;46;901.023;0.528699994087219;3.60560011863709;3;23.0116004943848;23.0116004943848;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:31;48;902.025;0.702499985694885;20.1935005187988;3;23.0102996826172;23.0102996826172;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:32;49;903.026;0.513999998569489;2.19679999351501;3;23.0142002105713;23.0142002105713;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:33;62;904.039;0.550999999046326;5.73199987411499;3;23.0102996826172;23.0102996826172;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:34;63;905.04;0.580399990081787;8.54069995880127;3;23.0076999664307;23.0076999664307;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:35;63;906.04;0.55460000038147;6.07709980010986;3;23.0116004943848;23.0116004943848;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:36;65;907.042;0.570999979972839;7.63959980010986;3;23.0116004943848;23.0116004943848;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:37;65;908.042;0.584800004959106;8.95619964599609;3;23.0102996826172;23.0102996826172;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:38;65;909.042;0.522300004959106;2.98920011520386;3;23.0090007781982;23.0090007781982;0;1005.77001953125;1005.77001953125;0;
2025-10-09 21:49:39;66;910.043;0.602500021457672;10.6490001678467;3;23.0128993988037;23.0128993988037;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:40;67;911.044;0.537699997425079;4.46110010147095;3;23.0128993988037;23.0128993988037;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:41;79;912.056;0.537699997425079;4.46110010147095;3;23.0128993988037;23.0128993988037;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:42;93;913.07;0.469799995422363;-2.01620006561279;3;23.0102996826172;23.0102996826172;0;1005.78002929688;1005.78002929688;0;
2025-10-09 21:49:43;94;914.071;0.632200002670288;13.4783000946045;3;23.0102996826172;23.0102996826172;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:49:44;94;915.071;0.655399978160858;15.6920003890991;3;23.0128993988037;23.0128993988037;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:49:45;94;916.071;0.635399997234344;13.789999961853;3;23.0102996826172;23.0102996826172;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:49:46;96;917.073;0.637700021266937;14.0017004013062;3;23.0116004943848;23.0116004943848;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:47;96;918.073;0.660300016403198;16.1602993011475;3;23.0076999664307;23.0076999664307;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:48;97;919.074;0.60180002450943;10.5768003463745;3;23.0025005340576;23.0025005340576;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:49;99;920.076;0.674600005149841;17.5286998748779;3;23.0063991546631;23.0063991546631;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:50;100;921.077;0.674600005149841;17.5268993377686;3;23.0063991546631;23.0063991546631;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:51;111;922.088;0.716000020503998;21.4822998046875;3;23.0090007781982;23.0090007781982;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:52;112;923.089;0.619599997997284;12.2817001342773;3;23.0063991546631;23.0063991546631;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:53;112;924.089;0.672299981117249;17.3111991882324;3;23.0051002502441;23.0051002502441;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:54;113;925.09;0.692099988460541;19.1949005126953;3;23.0090007781982;23.0090007781982;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:55;113;926.09;0.765200018882751;26.1830005645752;3;23.00119972229;23.00119972229;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:56;126;927.103;0.668500006198883;16.9514007568359;3;23.0051002502441;23.0051002502441;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:57;127;928.104;0.694500029087067;19.4323997497559;3;23.0051002502441;23.0051002502441;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:58;128;929.105;0.641799986362457;14.4033002853394;3;23.0037994384766;23.0037994384766;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:49:59;129;930.106;0.626299977302551;12.9160995483398;3;23.0063991546631;23.0063991546631;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:00;130;931.107;0.729099988937378;22.7329006195068;3;23.0063991546631;23.0063991546631;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:01;142;932.119;0.729099988937378;22.7329006195068;3;23.0063991546631;23.0063991546631;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:02;143;933.12;0.695100009441376;19.4848003387451;3;23.0037994384766;23.0037994384766;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:03;143;934.12;0.712599992752075;21.1573009490967;3;23.0051002502441;23.0051002502441;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:04;144;935.121;0.6875;18.7625999450684;3;23.0051002502441;23.0051002502441;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:05;145;936.122;0.792800009250641;28.8052997589111;3;23.0116004943848;23.0116004943848;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:06;155;937.132;0.712000012397766;21.105899810791;3;23.0037994384766;23.0037994384766;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:07;156;938.133;0.697000026702881;19.6700992584229;3;22.9999008178711;22.9999008178711;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:08;156;939.133;0.730599999427795;22.8822002410889;3;23.0025005340576;23.0025005340576;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:09;157;940.134;0.705799996852875;20.5093994140625;3;23.0025005340576;23.0025005340576;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:10;158;941.135;0.718699991703033;21.7376003265381;3;22.996000289917;22.996000289917;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:11;173;942.15;0.718699991703033;21.7413005828857;3;22.996000289917;22.996000289917;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:12;173;943.15;0.700999975204468;20.0573997497559;3;22.9986000061035;22.9986000061035;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:13;173;944.15;0.811999976634979;30.6536998748779;3;22.9999008178711;22.9999008178711;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:14;174;945.151;0.605400025844574;10.9245004653931;3;22.9999008178711;22.9999008178711;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:15;174;946.151;0.81029999256134;30.488899230957;3;22.9999008178711;22.9999008178711;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:16;188;947.165;0.837499976158142;33.0852012634277;3;22.996000289917;22.996000289917;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:17;189;948.166;0.83459997177124;32.8082008361816;3;22.9972991943359;22.9972991943359;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:18;189;949.166;0.714299976825714;21.3257999420166;3;22.9934005737305;22.9934005737305;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:19;190;950.167;0.712700009346008;21.1791000366211;3;22.9972991943359;22.9972991943359;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:20;203;951.18;0.789200007915497;28.4776992797852;3;22.9946994781494;22.9946994781494;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:21;203;952.18;0.789200007915497;28.4776992797852;3;22.9946994781494;22.9946994781494;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:22;204;953.181;0.792800009250641;28.823299407959;3;22.9946994781494;22.9946994781494;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:23;206;954.183;0.743399977684021;24.1002998352051;3;22.996000289917;22.996000289917;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:24;207;955.184;0.691999971866608;19.2019004821777;3;22.9946994781494;22.9946994781494;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:25;208;956.185;0.72079998254776;21.94580078125;3;22.996000289917;22.996000289917;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:26;220;957.197;0.793299973011017;28.8719997406006;3;22.9946994781494;22.9946994781494;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:27;221;958.198;0.856100022792816;34.8676986694336;3;22.9934005737305;22.9934005737305;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:28;222;959.199;0.741900026798248;23.9601993560791;3;22.996000289917;22.996000289917;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:29;223;960.2;0.791999995708466;28.7495002746582;3;22.9934005737305;22.9934005737305;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:30;224;961.201;0.754800021648407;25.1903991699219;3;22.9920997619629;22.9920997619629;0;1005.80999755859;1005.80999755859;0;
2025-10-09 21:50:31;233;962.21;0.692200005054474;19.2192001342773;3;22.9946994781494;22.9946994781494;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:32;234;963.211;0.692200005054474;19.2178993225098;3;22.9946994781494;22.9946994781494;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:33;235;964.212;0.803300023078918;29.8246994018555;3;22.9920997619629;22.9920997619629;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:34;236;965.213;0.879999995231628;37.1548004150391;3;22.9946994781494;22.9946994781494;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:35;237;966.214;0.870199978351593;36.2122993469238;3;22.9972991943359;22.9972991943359;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:36;250;967.227;0.671500027179718;17.2413997650146;3;22.9908008575439;22.9908008575439;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:37;251;968.228;0.652700006961823;15.4477996826172;3;22.9934005737305;22.9934005737305;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:38;252;969.229;0.728500008583069;22.6875991821289;3;22.9908008575439;22.9908008575439;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:39;253;970.23;0.944999992847443;43.3642997741699;3;22.9881992340088;22.9881992340088;0;1005.78997802734;1005.78997802734;0;
2025-10-09 21:50:40;254;971.231;0.757300019264221;25.4330997467041;3;22.9895000457764;22.9895000457764;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:41;255;972.232;0.845600008964539;33.8689994812012;3;22.9934005737305;22.9934005737305;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:42;256;973.233;0.845600008964539;33.8689994812012;3;22.9934005737305;22.9934005737305;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:43;257;974.234;0.667900025844574;16.8959007263184;3;22.9946994781494;22.9946994781494;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:44;257;975.234;0.761099994182587;25.7956008911133;3;22.9895000457764;22.9895000457764;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:45;259;976.236;0.962700009346008;45.0498008728027;3;22.9895000457764;22.9895000457764;0;1005.79998779297;1005.79998779297;0;
2025-10-09 21:50:46;270;977.247;0.733900010585785;23.199499130249;3;22.9908008575439;22.9908008575439;0;1005.79998779297;1005.79998779297;0;
