Time (YYYY-MM-DD hh:mm:ss);Time (ms);Time since start (s);Raw, Sensor 1 - H2 (MilliVolt);Sensor 1 - H2 (Pa);Cal. ID, Sensor 1 - H2;Raw, Sensor 2 - TEMP-UNIAMP (Temperature);Sensor 2 - TEMP-UNIAMP (°C);Cal. ID, Sensor 2 - TEMP-UNIAMP;Raw, Sensor 3 - Pressure (MilliVolt);Sensor 3 - Pressure (mbar);Cal. ID, Sensor 3 - Pressure;
2025-12-03 19:28:20;434;2583.682;0.802500009536743;136.999694824219;3;21.4190006256104;21.4190006256104;0;993.551025390625;993.551025390625;0;
2025-12-03 19:28:21;435;2584.683;0.7432000041008;130.682601928711;3;21.4202995300293;21.4202995300293;0;993.549011230469;993.549011230469;0;
2025-12-03 19:28:22;436;2585.684;0.805199980735779;137.284301757813;3;21.4190006256104;21.4190006256104;0;993.546020507813;993.546020507813;0;
2025-12-03 19:28:23;437;2586.685;0.756099998950958;132.065093994141;3;21.4176998138428;21.4176998138428;0;993.554992675781;993.554992675781;0;
2025-12-03 19:28:24;452;2587.7;0.72460001707077;128.698303222656;3;21.4202995300293;21.4202995300293;0;993.552978515625;993.552978515625;0;
2025-12-03 19:28:25;453;2588.701;0.73769998550415;130.100006103516;3;21.4190006256104;21.4190006256104;0;993.552978515625;993.552978515625;0;
2025-12-03 19:28:26;454;2589.702;0.801599979400635;136.898895263672;3;21.4176998138428;21.4176998138428;0;993.552978515625;993.552978515625;0;
2025-12-03 19:28:27;455;2590.703;0.783399999141693;134.964599609375;3;21.4190006256104;21.4190006256104;0;993.552001953125;993.552001953125;0;
2025-12-03 19:28:28;456;2591.704;0.755699992179871;132.019104003906;3;21.4228992462158;21.4228992462158;0;993.551025390625;993.551025390625;0;
2025-12-03 19:28:29;470;2592.718;0.721700012683868;128.383407592773;3;21.4164009094238;21.4164009094238;0;993.557983398438;993.557983398438;0;
2025-12-03 19:28:30;470;2593.718;0.767899990081787;133.326599121094;3;21.4137992858887;21.4137992858887;0;993.560974121094;993.560974121094;0;
2025-12-03 19:28:31;472;2594.72;0.699899971485138;126.090896606445;3;21.4176998138428;21.4176998138428;0;993.559020996094;993.559020996094;0;
2025-12-03 19:28:32;474;2595.722;0.783500015735626;134.980392456055;3;21.4164009094238;21.4164009094238;0;993.554016113281;993.554016113281;0;
2025-12-03 19:28:33;474;2596.722;0.758400022983551;132.314498901367;3;21.4190006256104;21.4190006256104;0;993.554016113281;993.554016113281;0;
2025-12-03 19:28:34;485;2597.733;0.76010000705719;132.485000610352;3;21.4202995300293;21.4202995300293;0;993.549987792969;993.549987792969;0;
2025-12-03 19:28:35;486;2598.734;0.794200003147125;136.124206542969;3;21.4151000976563;21.4151000976563;0;993.552001953125;993.552001953125;0;
2025-12-03 19:28:36;486;2599.734;0.788399994373322;135.520004272461;3;21.4137992858887;21.4137992858887;0;993.546020507813;993.546020507813;0;
2025-12-03 19:28:37;486;2600.734;0.752900004386902;131.736602783203;3;21.4176998138428;21.4176998138428;0;993.549011230469;993.549011230469;0;
2025-12-03 19:28:38;487;2601.735;0.735499978065491;129.865097045898;3;21.4202995300293;21.4202995300293;0;993.546020507813;993.546020507813;0;
2025-12-03 19:28:39;501;2602.749;0.790199995040894;135.680892944336;3;21.4176998138428;21.4176998138428;0;993.552001953125;993.552001953125;0;
2025-12-03 19:28:40;502;2603.75;0.722100019454956;128.440307617188;3;21.4137992858887;21.4137992858887;0;993.549987792969;993.549987792969;0;
2025-12-03 19:28:41;502;2604.75;0.720899999141693;128.332595825195;3;21.4190006256104;21.4190006256104;0;993.546997070313;993.546997070313;0;
2025-12-03 19:28:42;503;2605.751;0.75330001115799;131.756195068359;3;21.4242000579834;21.4242000579834;0;993.547973632813;993.547973632813;0;
2025-12-03 19:28:43;511;2606.759;0.822099983692169;139.087707519531;3;21.4176998138428;21.4176998138428;0;993.549987792969;993.549987792969;0;
2025-12-03 19:28:44;511;2607.759;0.707499980926514;126.884696960449;3;21.4176998138428;21.4176998138428;0;993.552001953125;993.552001953125;0;
2025-12-03 19:28:45;512;2608.76;0.874400019645691;144.661499023438;3;21.4176998138428;21.4176998138428;0;993.546020507813;993.546020507813;0;
2025-12-03 19:28:46;513;2609.761;0.773599982261658;133.933395385742;3;21.4137992858887;21.4137992858887;0;993.551025390625;993.551025390625;0;
2025-12-03 19:28:47;513;2610.761;0.773599982261658;133.942306518555;3;21.4137992858887;21.4137992858887;0;993.551025390625;993.551025390625;0;
2025-12-03 19:28:48;514;2611.762;0.735000014305115;129.828903198242;3;21.4151000976563;21.4151000976563;0;993.552978515625;993.552978515625;0;
2025-12-03 19:28:49;519;2612.767;0.825299978256226;139.440994262695;3;21.4202995300293;21.4202995300293;0;993.547973632813;993.547973632813;0;
2025-12-03 19:28:50;520;2613.768;0.70990002155304;127.147499084473;3;21.4176998138428;21.4176998138428;0;993.549987792969;993.549987792969;0;
2025-12-03 19:28:51;521;2614.769;0.816600024700165;138.485107421875;3;21.4242000579834;21.4242000579834;0;993.544982910156;993.544982910156;0;
2025-12-03 19:28:52;522;2615.77;0.746200025081635;131.01350402832;3;21.4176998138428;21.4176998138428;0;993.549987792969;993.549987792969;0;
2025-12-03 19:28:53;523;2616.771;0.687099993228912;124.707702636719;3;21.4216003417969;21.4216003417969;0;993.551025390625;993.551025390625;0;
2025-12-03 19:28:54;531;2617.779;0.840499997138977;141.063705444336;3;21.4151000976563;21.4151000976563;0;993.549987792969;993.549987792969;0;
2025-12-03 19:28:55;532;2618.78;0.758000016212463;132.260101318359;3;21.4190006256104;21.4190006256104;0;993.557006835938;993.557006835938;0;
2025-12-03 19:28:56;533;2619.781;0.671500027179718;123.05590057373;3;21.4190006256104;21.4190006256104;0;993.56298828125;993.56298828125;0;
2025-12-03 19:28:57;534;2620.782;0.771700024604797;133.732406616211;3;21.4176998138428;21.4176998138428;0;993.559020996094;993.559020996094;0;
2025-12-03 19:28:58;535;2621.783;0.771700024604797;133.723403930664;3;21.4176998138428;21.4176998138428;0;993.559020996094;993.559020996094;0;
2025-12-03 19:28:59;545;2622.793;0.787000000476837;135.348205566406;3;21.4202995300293;21.4202995300293;0;993.559020996094;993.559020996094;0;
2025-12-03 19:29:00;546;2623.794;0.885800004005432;145.848403930664;3;21.4242000579834;21.4242000579834;0;993.56298828125;993.56298828125;0;
2025-12-03 19:29:01;547;2624.795;0.799099981784821;136.633407592773;3;21.4202995300293;21.4202995300293;0;993.56201171875;993.56201171875;0;
2025-12-03 19:29:02;547;2625.795;0.740100026130676;130.361404418945;3;21.4176998138428;21.4176998138428;0;993.56298828125;993.56298828125;0;
2025-12-03 19:29:03;549;2626.797;0.793600022792816;136.044494628906;3;21.4202995300293;21.4202995300293;0;993.565002441406;993.565002441406;0;
2025-12-03 19:29:04;558;2627.806;0.807399988174438;137.514205932617;3;21.4216003417969;21.4216003417969;0;993.56298828125;993.56298828125;0;
2025-12-03 19:29:05;559;2628.807;0.823599994182587;139.263793945313;3;21.4137992858887;21.4137992858887;0;993.567993164063;993.567993164063;0;
2025-12-03 19:29:06;560;2629.808;0.734499990940094;129.771606445313;3;21.4137992858887;21.4137992858887;0;993.567993164063;993.567993164063;0;
2025-12-03 19:29:07;560;2630.808;0.821900010108948;139.065002441406;3;21.4190006256104;21.4190006256104;0;993.56298828125;993.56298828125;0;
2025-12-03 19:29:08;561;2631.809;0.876299977302551;144.854202270508;3;21.4176998138428;21.4176998138428;0;993.565002441406;993.565002441406;0;
2025-12-03 19:29:09;561;2632.809;0.876299977302551;144.859100341797;3;21.4176998138428;21.4176998138428;0;993.565002441406;993.565002441406;0;
2025-12-03 19:29:10;562;2633.81;0.777800023555756;134.375503540039;3;21.4125003814697;21.4125003814697;0;993.567993164063;993.567993164063;0;
