Time (YYYY-MM-DD hh:mm:ss);Time (ms);Time since start (s);Raw, Sensor 1 - H2 (MilliVolt);Sensor 1 - H2 (μmol/L);Cal. ID, Sensor 1 - H2;Raw, Sensor 2 - TEMP-UNIAMP (Temperature);Sensor 2 - TEMP-UNIAMP (°C);Cal. ID, Sensor 2 - TEMP-UNIAMP;Raw, Sensor 3 - Pressure (MilliVolt);Sensor 3 - Pressure (mbar);Cal. ID, Sensor 3 - Pressure;
2025-11-10 21:41:42;665;0;-0.608299970626831;-0.443699985742569;2;19.630199432373;19.630199432373;0;993.817993164063;993.817993164063;0;
2025-11-10 21:41:43;643;0.978;-0.256999999284744;-0.10700000077486;2;19.630199432373;19.630199432373;0;993.820983886719;993.820983886719;0;
2025-11-10 21:41:44;645;1.98;-0.309300005435944;-0.157100006937981;2;19.6431007385254;19.6431007385254;0;993.815002441406;993.815002441406;0;
2025-11-10 21:41:45;657;2.992;-0.274100005626678;-0.1233000010252;2;19.6392002105713;19.6392002105713;0;993.810974121094;993.810974121094;0;
2025-11-10 21:41:46;658;3.993;-0.274100005626678;-0.1233000010252;2;19.6392002105713;19.6392002105713;0;993.810974121094;993.810974121094;0;
2025-11-10 21:41:47;666;5.001;-0.389499992132187;-0.233999997377396;2;19.6354007720947;19.6354007720947;0;993.817993164063;993.817993164063;0;
2025-11-10 21:41:48;672;6.007;-0.35699999332428;-0.202800005674362;2;19.6457004547119;19.6457004547119;0;993.809020996094;993.809020996094;0;
2025-11-10 21:41:49;672;7.007;-0.259099990129471;-0.108999997377396;2;19.6457004547119;19.6457004547119;0;993.747009277344;993.747009277344;0;
2025-11-10 21:41:50;672;8.007;-0.309300005435944;-0.157100006937981;2;19.6443996429443;19.6443996429443;0;993.744018554688;993.744018554688;0;
2025-11-10 21:41:51;672;9.007;-0.293900012969971;-0.142299994826317;2;19.6443996429443;19.6443996429443;0;993.802978515625;993.802978515625;0;
2025-11-10 21:41:52;673;10.008;-0.396100014448166;-0.240299999713898;2;19.6469993591309;19.6469993591309;0;993.851013183594;993.851013183594;0;
2025-11-10 21:41:53;688;11.023;-0.322800010442734;-0.170000001788139;2;19.6522006988525;19.6522006988525;0;993.85302734375;993.85302734375;0;
2025-11-10 21:41:54;689;12.024;-0.327899992465973;-0.174899995326996;2;19.6495990753174;19.6495990753174;0;993.817993164063;993.817993164063;0;
2025-11-10 21:41:55;690;13.025;-0.31139999628067;-0.159099996089935;2;19.650899887085;19.650899887085;0;993.788024902344;993.788024902344;0;
2025-11-10 21:41:56;691;14.026;-0.330900013446808;-0.177799999713898;2;19.6522006988525;19.6522006988525;0;993.802001953125;993.802001953125;0;
2025-11-10 21:41:57;691;15.026;-0.330900013446808;-0.177799999713898;2;19.6522006988525;19.6522006988525;0;993.802001953125;993.802001953125;0;
2025-11-10 21:41:58;691;16.026;-0.256099998950958;-0.106100000441074;2;19.6548004150391;19.6548004150391;0;993.799987792969;993.799987792969;0;
2025-11-10 21:41:59;704;17.039;-0.468699991703033;-0.309899985790253;2;19.656099319458;19.656099319458;0;993.781005859375;993.781005859375;0;
2025-11-10 21:42:00;705;18.04;-0.290100008249283;-0.138699993491173;2;19.6587009429932;19.6587009429932;0;993.77197265625;993.77197265625;0;
2025-11-10 21:42:01;707;19.042;-0.274699985980988;-0.12389999628067;2;19.6613006591797;19.6613006591797;0;993.780029296875;993.780029296875;0;
2025-11-10 21:42:02;708;20.043;-0.351300001144409;-0.197400003671646;2;19.656099319458;19.656099319458;0;993.810974121094;993.810974121094;0;
2025-11-10 21:42:03;720;21.055;-0.282599985599518;-0.131600007414818;2;19.6587009429932;19.6587009429932;0;993.841003417969;993.841003417969;0;
2025-11-10 21:42:04;722;22.057;-0.320899993181229;-0.168200001120567;2;19.6613006591797;19.6613006591797;0;993.841003417969;993.841003417969;0;
2025-11-10 21:42:05;722;23.057;-0.32260000705719;-0.169799998402596;2;19.6613006591797;19.6613006591797;0;993.801025390625;993.801025390625;0;
2025-11-10 21:42:06;723;24.058;-0.331699997186661;-0.178599998354912;2;19.6716995239258;19.6716995239258;0;993.809020996094;993.809020996094;0;
2025-11-10 21:42:07;723;25.058;-0.340400010347366;-0.187000006437302;2;19.6665000915527;19.6665000915527;0;993.8330078125;993.8330078125;0;
2025-11-10 21:42:08;727;26.062;-0.340400010347366;-0.187000006437302;2;19.6665000915527;19.6665000915527;0;993.8330078125;993.8330078125;0;
2025-11-10 21:42:09;729;27.064;-0.319000005722046;-0.166400000452995;2;19.6704006195068;19.6704006195068;0;993.833984375;993.833984375;0;
2025-11-10 21:42:10;735;28.07;-0.417199999094009;-0.260600000619888;2;19.6742992401123;19.6742992401123;0;993.820983886719;993.820983886719;0;
2025-11-10 21:42:11;736;29.071;-0.317299991846085;-0.164700001478195;2;19.6742992401123;19.6742992401123;0;993.804992675781;993.804992675781;0;
2025-11-10 21:42:12;737;30.072;-0.273699998855591;-0.123000003397465;2;19.6742992401123;19.6742992401123;0;993.796020507813;993.796020507813;0;
2025-11-10 21:42:13;753;31.088;-0.409099996089935;-0.252700001001358;2;19.6730003356934;19.6730003356934;0;993.806030273438;993.806030273438;0;
2025-11-10 21:42:14;770;32.105;-0.270999997854233;-0.120399996638298;2;19.6742992401123;19.6742992401123;0;993.809020996094;993.809020996094;0;
2025-11-10 21:42:15;786;33.121;-0.304500013589859;-0.152500003576279;2;19.6716995239258;19.6716995239258;0;993.818969726563;993.818969726563;0;
2025-11-10 21:42:16;798;34.133;-0.407900005578995;-0.251599997282028;2;19.6781997680664;19.6781997680664;0;993.781005859375;993.781005859375;0;
2025-11-10 21:42:17;803;35.138;-0.38170000910759;-0.226500004529953;2;19.6833992004395;19.6833992004395;0;993.747985839844;993.747985839844;0;
2025-11-10 21:42:18;815;36.15;-0.372200012207031;-0.217399999499321;2;19.6833992004395;19.6833992004395;0;993.745971679688;993.745971679688;0;
2025-11-10 21:42:19;830;37.165;-0.372200012207031;-0.217399999499321;2;19.6833992004395;19.6833992004395;0;993.745971679688;993.745971679688;0;
2025-11-10 21:42:20;845;38.18;-0.423200011253357;-0.266299992799759;2;19.6807994842529;19.6807994842529;0;993.781005859375;993.781005859375;0;
2025-11-10 21:42:21;846;39.181;-0.346500009298325;-0.192800000309944;2;19.6807994842529;19.6807994842529;0;993.799011230469;993.799011230469;0;
2025-11-10 21:42:22;862;40.197;-0.360199987888336;-0.205899998545647;2;19.6821002960205;19.6821002960205;0;993.797973632813;993.797973632813;0;
2025-11-10 21:42:23;877;41.212;-0.437599986791611;-0.280099987983704;2;19.6833992004395;19.6833992004395;0;993.783020019531;993.783020019531;0;
2025-11-10 21:42:24;893;42.228;-0.330599993467331;-0.177499994635582;2;19.6937007904053;19.6937007904053;0;993.778015136719;993.778015136719;0;
2025-11-10 21:42:25;909;43.244;-0.286500006914139;-0.135199993848801;2;19.6884994506836;19.6884994506836;0;993.81201171875;993.81201171875;0;
2025-11-10 21:42:26;910;44.245;-0.326799988746643;-0.173899993300438;2;19.6923999786377;19.6923999786377;0;993.810974121094;993.810974121094;0;
2025-11-10 21:42:27;924;45.259;-0.402599990367889;-0.246500000357628;2;19.6937007904053;19.6937007904053;0;993.806030273438;993.806030273438;0;
2025-11-10 21:42:28;938;46.273;-0.368900001049042;-0.214300006628036;2;19.6923999786377;19.6923999786377;0;993.794006347656;993.794006347656;0;
2025-11-10 21:42:29;938;47.273;-0.285299986600876;-0.134100005030632;2;19.6923999786377;19.6923999786377;0;993.796020507813;993.796020507813;0;
2025-11-10 21:42:30;939;48.274;-0.285299986600876;-0.134100005030632;2;19.6923999786377;19.6923999786377;0;993.796020507813;993.796020507813;0;
2025-11-10 21:42:31;940;49.275;-0.342099994421005;-0.18860000371933;2;19.6989002227783;19.6989002227783;0;993.807983398438;993.807983398438;0;
2025-11-10 21:42:32;946;50.281;-0.31700000166893;-0.164499998092651;2;19.6949996948242;19.6949996948242;0;993.815002441406;993.815002441406;0;
2025-11-10 21:42:33;954;51.289;-0.367799997329712;-0.213200002908707;2;19.6989002227783;19.6989002227783;0;993.809020996094;993.809020996094;0;
